Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,,
0,0,0,431414,0,0,,,,
0,0,0,409100,0,0,,,,
0,0,0,406213,0,0,,,,
0,0,0,465982,0,0,,,,
0,0,0,410023,0,0,,,,
0,0,0,413178,0,0,,,,
0,0,0,426801,0,0,,,,
0,0,0,419435,0,0,,,,
0,0,0,413111,0,0,,,,
0,0,0,408714,0,0,,,,
0,0,0,414316,0,0,,,,
0,0,0,428877,0,0,,,,
0,0,0,432136,0,0,,,,
0,0,0,411072,0,0,,,,
0,0,0,406467,0,0,,,,
0,0,0,407278,0,0,,,,
0,0,0,420171,0,0,,,,
0,0,0,421555,0,0,,,,
0,0,0,416846,0,0,,,,
0,0,0,407553,0,0,,,,
0,0,0,410083,0,0,,,,
0,0,0,412300,0,0,,,,
0,0,0,409673,0,0,,,,
0,0,0,424287,0,0,,,,
0,0,0,483951,0,0,,,,
